Degree,Lambda,MSE_Train,MSE_Test,R2_Train,R2_Test
1,0.01,0.15353099493671485,0.13690244814066344,-0.8502113214103568,-1.0172112477675315
1,0.1,0.15353099493680225,0.13690246452930482,-0.8502113214114102,-1.0172114892486168
1,1.0,0.15353099494550265,0.13690262801869876,-0.8502113215162592,-1.0172138982095142
1,10.0,0.1535309957774212,0.13690422415990777,-0.8502113315417597,-1.0172374168101208
2,0.01,0.11058316153774977,0.09702033037353175,-0.3326443791941267,-0.42956173793563623
2,0.1,0.11058316419408058,0.09702006109104927,-0.3326444112057301,-0.4295577701493778
2,1.0,0.11058342862518057,0.09701760302716199,-0.33264759788093623,-0.4295215514097679
2,10.0,0.11060871300021048,0.09701538259272607,-0.3329523014162348,-0.42948883405971405
3,0.01,0.11058305925323861,0.09700835429792606,-0.3326431465572859,-0.4293852745140978
3,0.1,0.11058306191164075,0.09700814166940898,-0.33264317859385106,-0.42938214150484866
3,1.0,0.11058332653948767,0.09700623317490774,-0.3326463676400664,-0.4293540204841766
3,10.0,0.11060862345085955,0.09700819378584936,-0.3329512222515816,-0.4293829094229624
4,0.01,0.0884482974578873,0.08406663036355892,-0.06589579116262079,-0.23869335161229333
4,0.1,0.08844948082403484,0.0840084413775836,-0.06591005197975686,-0.23783595659416346
4,1.0,0.08855555075296259,0.08355378439467749,-0.0671883071193411,-0.23113673979964755
4,10.0,0.09304716440888879,0.0845128708534299,-0.12131701540408546,-0.2452685542299422
5,0.01,0.08843797862226767,0.08406143411193229,-0.06577143824941833,-0.23861678660290275
5,0.1,0.08843917172168521,0.08400528112953978,-0.06578581636278114,-0.23778939140861466
5,1.0,0.08854564273132094,0.08356588339861755,-0.06706890495027595,-0.23131501452859604
5,10.0,0.09303863184093909,0.08455781331208957,-0.12121418891079183,-0.2459307661504877
6,0.01,0.07947010640704864,0.07293123407005503,0.04230093312027805,-0.07461705526640605
6,0.1,0.07973098582798768,0.07329970003492906,0.03915705941358216,-0.08004627657587249
6,1.0,0.0848015240936969,0.07889558796385565,-0.021948304416872455,-0.1624997916501909
6,10.0,0.0932977728368913,0.0859126295962836,-0.12433711275265158,-0.2658935256500605
7,0.01,0.07946996550394111,0.07292589719616607,0.04230263115216326,-0.07453841823556462
7,0.1,0.07973123878097327,0.07330519143543066,0.03915401106182814,-0.08012719050406192
7,1.0,0.08480056947266817,0.07891170885173535,-0.021936800221020958,-0.16273732747804925
7,10.0,0.0932878730154308,0.08594022664486248,-0.12421780940446636,-0.2663001588224734
8,0.01,0.07603953386134764,0.06986410838898324,0.08364297070423221,-0.029423996221781712
8,0.1,0.07969957152076154,0.07327741779604273,0.039535635133149505,-0.07971795532583337
8,1.0,0.08339674019827344,0.07708624064105209,-0.005019168586554823,-0.1358396711026948
8,10.0,0.09345504323717044,0.08617489952793314,-0.1262323878743894,-0.26975798434499265
9,0.01,0.07603921152285838,0.06983570938714237,0.08364685522489457,-0.029005546539421445
9,0.1,0.0796994377468664,0.07326803226980341,0.03953724725046437,-0.0795796627726082
9,1.0,0.08339747134401936,0.07710448364740027,-0.005027979668234206,-0.1361084756280957
9,10.0,0.09344906706394912,0.08620645927340208,-0.1261603686488424,-0.2702230065151676
10,0.01,0.07624312884784158,0.06923273859269775,0.08118943518751931,-0.020120975918892725
10,0.1,0.07856429613475452,0.07164732726823023,0.05321690758875064,-0.055699122994916195
10,1.0,0.08361064064751778,0.07741640746875471,-0.007596895859212527,-0.14070456758575212
10,10.0,0.09292694864057899,0.08561080149908905,-0.11986828789710535,-0.2614461907716694
11,0.01,0.07624308699148066,0.06920954383051904,0.08118993960106058,-0.019779208946923532
11,0.1,0.07856419678219177,0.07163331872724661,0.05321810489250345,-0.05549271188378757
11,1.0,0.08361079666056268,0.07742418116617615,-0.007598775981868533,-0.1408191103867631
11,10.0,0.09292555152211547,0.085649932175742,-0.11985145113785922,-0.26202276805095925
12,0.01,0.07602056053334502,0.06947510753830477,0.0838716194294602,-0.023692200318661483
12,0.1,0.07826274909933925,0.07045179246064723,0.05685086918128146,-0.03808332215491861
12,1.0,0.08367639321759203,0.07753649969315426,-0.00838928406469086,-0.14247408587500376
12,10.0,0.09239000237580086,0.08519583343323375,-0.11339751593023961,-0.25533177673980667
13,0.01,0.07602035856199472,0.06949059634374122,0.08387405339843867,-0.023920422625605342
13,0.1,0.07826274131090055,0.07044519200651284,0.056850963040227964,-0.03798606669673599
13,1.0,0.08367641247805142,0.0775390505954069,-0.008389516173654021,-0.1425116725565121
13,10.0,0.09239037813880786,0.08523316580478153,-0.11340204427300216,-0.25588185660188945
14,0.01,0.0756046855982888,0.07021659676317593,0.08888335346693577,-0.034617793139117836
14,0.1,0.07837298461151557,0.07000090426264619,0.05552241434560379,-0.031439637130683096
14,1.0,0.08345099260246397,0.07707353814303097,-0.0056729675962494674,-0.1356525040926746
14,10.0,0.09208972392555147,0.08516001942757474,-0.10977884213439815,-0.2548040694853042
15,0.01,0.07560409317022025,0.07024516834091551,0.08889049285348116,-0.03503878566894869
15,0.1,0.0783729230923845,0.07000960417452136,0.055523155716379224,-0.03156782738825359
15,1.0,0.08345099723604316,0.07707685939826278,-0.005673023435792901,-0.13570144166465603
15,10.0,0.09209023941923114,0.08518950843003006,-0.10978505437996211,-0.2552385799578796
