Regression,Method,MSE,R2,Epochs
ols,vanilla,0.11677104057024788,-0.7205817693617858,1000
ols,momentum,0.09983647031591354,-0.4710566070501985,1000
ols,adagrad,0.1355287089906808,-0.9969696662437575,1000
ols,rmsprop,0.10351150111389573,-0.5252069422871899,1000
ols,adam,0.10413432790888547,-0.5343840843568,1000
ridge,vanilla,0.1168029241886442,-0.7210515636899522,1000
ridge,momentum,0.09990352057947166,-0.47204456999499733,1000
ridge,adagrad,0.13553846303313297,-0.9971133887586787,1000
ridge,rmsprop,0.10355207865246518,-0.5258048385872247,1000
ridge,adam,0.10415199511130399,-0.53464440460614,1000
lasso,vanilla,0.11720897751660048,-0.7270346220754766,1000
lasso,momentum,0.09989520904409455,-0.47192210233370524,1000
lasso,adagrad,0.13555587344713335,-0.9973699253175703,1000
lasso,rmsprop,0.10355150475962946,-0.5257963824704863,1000
lasso,adam,0.10420200817386326,-0.5353813301593351,1000
