Degree,MSE,Bias2,Variance
1,0.15024354761564526,0.15021671482736426,2.6832788280999862e-05
2,0.10933250116580916,0.1087645950774475,0.0005679060883616657
3,0.10953525980640993,0.10874700120725612,0.0007882585991538227
4,0.08868132362844078,0.08800150379318754,0.0006798198352532339
5,0.08890294035640876,0.08802671592020048,0.000876224436208298
6,0.080294609708641,0.07916507723636614,0.0011295324722748548
7,0.08039403054131952,0.0791728901782208,0.0012211403630987376
8,0.07644998803155084,0.07522908677652637,0.0012209012550244635
9,0.0765899642922242,0.07522535090165618,0.0013646133905680091
10,0.07550941621766072,0.07375066656190878,0.0017587496557519278
11,0.07590354676864208,0.07375361364519285,0.0021499331234492236
12,0.07592038059069058,0.0733734776474993,0.0025469029431912584
13,0.07593089032855248,0.07334950894236014,0.002581381386192333
14,0.0763714222092321,0.07293435272205795,0.0034370694871741474
15,0.07939054516952197,0.07312612635315073,0.006264418816371261
