Degree,MSE_Train,MSE_Test,R2_Train,R2_Test
1,0.14226900305182838,0.1660091782541217,-0.8891060054140596,-0.8148104922516224
2,0.10423851157116677,0.1201732209869181,-0.38412158643423755,-0.31373231666073265
3,0.1042378599011427,0.1201888007059643,-0.38411293329314833,-0.3139026339762494
4,0.08533055516251199,0.10204688246922448,-0.13305400856778848,-0.11557538537552903
5,0.08533054764603902,0.10205191116620477,-0.13305390876098633,-0.11563035903504693
6,0.07640266304604265,0.08377403427550209,-0.014505805859381882,0.08418318806024505
7,0.07639989637074651,0.0837459773532928,-0.014469068813329322,0.08448990602211448
8,0.07273856615983745,0.07969354143060521,0.03414757107914612,0.1287910905048959
9,0.07273811304705183,0.07967892258716763,0.034153587696020504,0.128950903538935
10,0.07090441908353937,0.07403742307830834,0.05850212605824512,0.19062371349067042
11,0.07089596180683498,0.07392940582602563,0.058614425237047074,0.19180455689251397
12,0.0701132017795097,0.0729697831363074,0.06900823300049608,0.20229514147475602
13,0.07011271658614993,0.07295530474566499,0.06901467559635388,0.2024534190803986
14,0.06973359361084924,0.07278044982692529,0.07404882551002157,0.20436493110935916
15,0.06973161902146956,0.07269124484879677,0.074075044915341,0.2053401189391605
