Degree,Regression,MSE
1,ols,0.19256085763051384
1,ridge,0.19256079494711664
1,lasso,0.19248869690164583
2,ols,0.1481682785399802
2,ridge,0.14816529838060805
2,lasso,0.1465115061180471
3,ols,0.1494601375387188
3,ridge,0.1494551560626546
3,lasso,0.1472465237651416
4,ols,0.12472142583060446
4,ridge,0.12471254566151205
4,lasso,0.13520240108476125
5,ols,0.124511369749666
5,ridge,0.1244848113544402
5,lasso,0.13543903986029315
6,ols,0.11604405670330982
6,ridge,0.11582958540309556
6,lasso,0.1321402288099179
7,ols,0.11914743501373289
7,ridge,0.11756091742087571
7,lasso,0.13214168070522622
8,ols,0.11983236297129303
8,ridge,0.11754843346506708
8,lasso,0.13267620226792215
9,ols,0.136532698518394
9,ridge,0.1202160839886612
9,lasso,0.13267620226792215
10,ols,0.13552394723244837
10,ridge,0.12121560147246924
10,lasso,0.1330063881740528
11,ols,0.16433538724745883
11,ridge,0.12562869384133007
11,lasso,0.1330063881740528
12,ols,0.17524865983754123
12,ridge,0.12879043466847928
12,lasso,0.1329644449911319
13,ols,0.1827799989259483
13,ridge,0.13576321308031813
13,lasso,0.1329644449911319
14,ols,0.22285549356341566
14,ridge,0.14013974712916222
14,lasso,0.133043876875916
15,ols,0.3341467820131889
15,ridge,0.1483245711306979
15,lasso,0.133043876875916
