act,depth,width,mse_train,mse_test,overfit
sigmoid,1,50,0.01979070997815203,0.0015693458360080876,-0.018221364142143943
sigmoid,1,100,0.021457329813965833,0.0022555067433607965,-0.019201823070605036
sigmoid,1,200,0.02108293971162079,0.0015326665251913366,-0.01955027318642945
sigmoid,2,50,0.019086411601408556,0.001680968530215189,-0.017405443071193367
sigmoid,2,100,0.01959966976405956,0.0010551184137725122,-0.018544551350287045
sigmoid,2,200,0.01892842675407418,0.001716036336554515,-0.017212390417519666
sigmoid,3,50,0.019608441793684036,0.0012152146690583756,-0.018393227124625662
sigmoid,3,100,0.016515630257814065,0.0035241069790511105,-0.012991523278762955
sigmoid,3,200,0.014325795572578612,0.0031881023301083885,-0.011137693242470223
relu,1,50,0.013980309686480034,0.0027617167834368423,-0.011218592903043192
relu,1,100,0.01404269735605332,0.002825407591917343,-0.011217289764135977
relu,1,200,0.014183773735294563,0.0027396392522219893,-0.011444134483072573
relu,2,50,0.01364243217634297,0.0031580873631706736,-0.010484344813172296
relu,2,100,0.013457378882157048,0.003243938623791477,-0.010213440258365571
relu,2,200,0.013356333929076647,0.003022698646134999,-0.010333635282941648
relu,3,50,0.013245091493128792,0.0030758301831922486,-0.010169261309936544
relu,3,100,0.012159428596001241,0.0024689416941016205,-0.00969048690189962
relu,3,200,0.01283825532393481,0.003217689485138556,-0.009620565838796252
leaky_relu,1,50,0.01397681461918785,0.0027702309433097227,-0.011206583675878127
leaky_relu,1,100,0.01405715682684844,0.002822089152136959,-0.01123506767471148
leaky_relu,1,200,0.014188614385668829,0.0027287365011728266,-0.011459877884496003
leaky_relu,2,50,0.01361044639648199,0.003146881280949413,-0.010463565115532578
leaky_relu,2,100,0.013699018631539456,0.003429417939478905,-0.010269600692060551
leaky_relu,2,200,0.013219664728739295,0.002725191861297222,-0.010494472867442074
leaky_relu,3,50,0.013091703970297085,0.002965582484384511,-0.010126121485912574
leaky_relu,3,100,0.01268255969795709,0.0026418068552520485,-0.010040752842705041
leaky_relu,3,200,0.01129310867878834,0.0038610328633612574,-0.0074320758154270816
