datetime,Global_active_power,lag1,lag24,lag168,hour,dow
2006-12-23 17:00:00,5.4525332,4.3490996,1.4968,4.222889,17,5
2006-12-23 18:00:00,3.8793998,5.4525332,2.6869667,3.6322,18,5
2006-12-23 19:00:00,4.117833,3.8793998,3.9381666,3.4002333,19,5
2006-12-23 20:00:00,4.1814,4.117833,3.5360668,3.2685666,20,5
2006-12-23 21:00:00,3.2884333,4.1814,4.548667,3.0564666,21,5
2006-12-23 22:00:00,4.3279333,3.2884333,3.0650668,2.2001333,22,5
2006-12-23 23:00:00,5.5624666,4.3279333,2.4192,2.0616,23,5
2006-12-24 00:00:00,4.028,5.5624666,1.6982332,1.8824667,0,6
2006-12-24 01:00:00,3.2756999,4.028,1.7228,3.3494,1,6
2006-12-24 02:00:00,2.3030334,3.2756999,1.7007667,1.5872667,2,6
2006-12-24 03:00:00,1.6067666,2.3030334,1.7715334,1.6622001,3,6
2006-12-24 04:00:00,1.5761,1.6067666,1.8916,2.2157667,4,6
2006-12-24 05:00:00,1.6319001,1.5761,2.2291,1.9967333,5,6
2006-12-24 06:00:00,1.8952,1.6319001,1.6493666,1.3033,6,6
2006-12-24 07:00:00,1.4764,1.8952,4.023367,1.6200333,7,6
2006-12-24 08:00:00,1.4277667,1.4764,4.190833,1.8905666,8,6
2006-12-24 09:00:00,2.7256665,1.4277667,3.2463999,2.5490668,9,6
2006-12-24 10:00:00,2.6753335,2.7256665,2.9721668,3.6288998,10,6
2006-12-24 11:00:00,2.0929332,2.6753335,3.159,2.471,11,6
2006-12-24 12:00:00,1.5,2.0929332,2.9287999,1.9158666,12,6
2006-12-24 13:00:00,3.2399333,1.5,3.4063,1.6607667,13,6
2006-12-24 14:00:00,1.3715333,3.2399333,3.7579665,2.0926332,14,6
2006-12-24 15:00:00,3.0968332,1.3715333,4.0491,2.9854,15,6
2006-12-24 16:00:00,2.0071332,3.0968332,4.3490996,3.3260334,16,6
2006-12-24 17:00:00,1.6865001,2.0071332,5.4525332,3.4067667,17,6
2006-12-24 18:00:00,0.5052,1.6865001,3.8793998,3.6971002,18,6
2006-12-24 19:00:00,0.45403334,0.5052,4.117833,2.9084,19,6
2006-12-24 20:00:00,0.4741,0.45403334,4.1814,3.3615,20,6
2006-12-24 21:00:00,0.48403332,0.4741,3.2884333,3.0407667,21,6
2006-12-24 22:00:00,0.47976667,0.48403332,4.3279333,1.518,22,6
2006-12-24 23:00:00,0.48633334,0.47976667,5.5624666,0.43773332,23,6
2006-12-25 00:00:00,0.9995667,0.48633334,4.028,0.27636668,0,0
2006-12-25 01:00:00,1.2067666,0.9995667,3.2756999,0.3133,1,0
2006-12-25 02:00:00,0.43800002,1.2067666,2.3030334,0.28446668,2,0
2006-12-25 03:00:00,0.58996665,0.43800002,1.6067666,0.30993333,3,0
2006-12-25 04:00:00,0.5786667,0.58996665,1.5761,1.0263333,4,0
2006-12-25 05:00:00,0.6201,0.5786667,1.6319001,0.2935,5,0
2006-12-25 06:00:00,0.26406667,0.6201,1.8952,0.60999995,6,0
2006-12-25 07:00:00,0.67679995,0.26406667,1.4764,2.4504333,7,0
2006-12-25 08:00:00,2.6111,0.67679995,1.4277667,2.0821333,8,0
2006-12-25 09:00:00,1.4934667,2.6111,2.7256665,1.6293334,9,0
2006-12-25 10:00:00,1.9156667,1.4934667,2.6753335,1.3096334,10,0
2006-12-25 11:00:00,3.0446,1.9156667,2.0929332,1.5619334,11,0
2006-12-25 12:00:00,2.9126,3.0446,1.5,1.7560667,12,0
2006-12-25 13:00:00,2.2249334,2.9126,3.2399333,1.6820667,13,0
2006-12-25 14:00:00,1.7837334,2.2249334,1.3715333,1.7330334,14,0
2006-12-25 15:00:00,1.7403333,1.7837334,3.0968332,1.7843,15,0
2006-12-25 16:00:00,3.8728333,1.7403333,2.0071332,1.9493,16,0
2006-12-25 17:00:00,2.0718,3.8728333,1.6865001,2.1549,17,0
2006-12-25 18:00:00,2.4230666,2.0718,0.5052,2.4025333,18,0
2006-12-25 19:00:00,1.6294999,2.4230666,0.45403334,2.6144998,19,0
2006-12-25 20:00:00,1.9771333,1.6294999,0.4741,3.0505667,20,0
2006-12-25 21:00:00,3.8368669,1.9771333,0.48403332,2.1697335,21,0
2006-12-25 22:00:00,4.2148666,3.8368669,0.47976667,1.7388,22,0
2006-12-25 23:00:00,2.5922332,4.2148666,0.48633334,1.5472666,23,0
